datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2004-06-26T17:00:00,Polkowice,,0,Cracovia,,4
2004-06-19T15:30:00,Cracovia,,4,Polkowice,,0
2004-06-11T19:00:00,GKS Katowice,,2,Legia,,4
2004-06-11T19:00:00,Lech Poznan,,2,Wisla,,2
2004-06-11T19:00:00,Leczna,,1,Amica Wronki,,0
2004-06-11T19:00:00,Polonia Warszawa,,2,Gornik Z.,,0
2004-06-11T19:00:00,Swit,,0,Polkowice,,0
2004-06-11T19:00:00,Widzew Lodz,,0,Groclin,,1
2004-06-08T19:00:00,Amica Wronki,,2,Odra Wodzislaw,,1
2004-06-08T19:00:00,Gornik Z.,,0,Leczna,,1
2004-06-08T19:00:00,Groclin,,3,Swit,,1
2004-06-08T19:00:00,Legia,,6,Widzew Lodz,,0
2004-06-08T19:00:00,Polkowice,,0,Lech Poznan,,2
2004-06-08T19:00:00,Wisla,,4,Polonia Warszawa,,1
2004-06-08T19:00:00,Wisla Plock,,1,GKS Katowice,,1
2004-05-30T19:00:00,Odra Wodzislaw,,1,Wisla Plock,,2
2004-05-23T15:00:00,Widzew Lodz,,2,Wisla Plock,,1
2004-05-22T20:00:00,Groclin,,2,Legia,,2
2004-05-22T19:00:00,GKS Katowice,,0,Amica Wronki,,0
2004-05-22T19:00:00,Odra Wodzislaw,,1,Gornik Z.,,2
2004-05-22T19:00:00,Polonia Warszawa,,0,Polkowice,,1
2004-05-22T19:00:00,Swit,,1,Lech Poznan,,0
2004-05-21T20:00:00,Leczna,,0,Wisla,,1
2004-05-16T20:45:00,Wisla,,2,Odra Wodzislaw,,1
2004-05-15T19:00:00,Amica Wronki,,6,Widzew Lodz,,0
2004-05-15T19:00:00,Gornik Z.,,1,GKS Katowice,,1
2004-05-15T19:00:00,Polkowice,,2,Leczna,,0
2004-05-15T18:30:00,Wisla Plock,,0,Groclin,,1
2004-05-14T20:00:00,Lech Poznan,,1,Polonia Warszawa,,0
2004-05-14T20:00:00,Legia,,3,Swit,,1
2004-05-09T17:15:00,GKS Katowice,,0,Wisla,,2
2004-05-08T20:15:00,Legia,,2,Wisla Plock,,0
2004-05-08T19:00:00,Leczna,,1,Lech Poznan,,2
2004-05-08T19:00:00,Odra Wodzislaw,,0,Polkowice,,1
2004-05-08T19:00:00,Swit,,2,Polonia Warszawa,,1
2004-05-08T19:00:00,Widzew Lodz,,1,Gornik Z.,,2
2004-05-07T20:00:00,Groclin,,1,Amica Wronki,,1
2004-05-03T19:00:00,Amica Wronki,,0,Legia,,1
2004-05-03T19:00:00,Gornik Z.,,2,Groclin,,2
