datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2015-06-07T18:00:00,Jagiellonia,0,4,Lechia Gdansk,1,2
2015-06-07T18:00:00,Lech Poznan,0,0,Wisla,0,0
2015-06-07T18:00:00,Legia,1,2,Gornik Z.,0,0
2015-06-07T18:00:00,Slask Wroclaw,1,2,Pogon Szczecin,0,1
2015-06-05T20:30:00,Korona Kielce,2,3,Podbeskidzie,1,1
2015-06-05T20:30:00,Leczna,1,1,GKS Belchatow,0,0
2015-06-05T20:30:00,Piast Gliwice,0,0,Cracovia,1,3
2015-06-05T20:30:00,Ruch Chorzow,1,3,Zawisza,0,2
2015-06-03T20:30:00,Gornik Z.,1,1,Lech Poznan,4,6
2015-06-03T20:30:00,Lechia Gdansk,0,0,Legia,0,0
2015-06-03T20:30:00,Pogon Szczecin,0,1,Jagiellonia,2,3
2015-06-03T20:30:00,Wisla,0,0,Slask Wroclaw,0,1
2015-06-02T20:30:00,Cracovia,1,1,Ruch Chorzow,0,0
2015-06-02T20:30:00,GKS Belchatow,0,2,Korona Kielce,1,2
2015-06-02T20:30:00,Podbeskidzie,0,1,Leczna,0,0
2015-06-02T20:30:00,Zawisza,0,0,Piast Gliwice,0,0
2015-05-31T18:00:00,Lech Poznan,1,1,Pogon Szczecin,0,0
2015-05-31T15:30:00,Jagiellonia,2,3,Gornik Z.,1,2
2015-05-31T15:30:00,Legia,0,1,Wisla,0,0
2015-05-30T20:30:00,Slask Wroclaw,0,1,Lechia Gdansk,0,0
2015-05-30T18:00:00,GKS Belchatow,0,1,Zawisza,2,4
2015-05-30T15:30:00,Leczna,0,0,Ruch Chorzow,0,1
2015-05-29T20:30:00,Korona Kielce,1,2,Piast Gliwice,0,1
2015-05-29T18:00:00,Podbeskidzie,0,0,Cracovia,0,3
2015-05-25T18:00:00,Ruch Chorzow,0,2,GKS Belchatow,1,4
2015-05-24T18:00:00,Lechia Gdansk,0,1,Lech Poznan,1,2
2015-05-24T15:30:00,Piast Gliwice,1,2,Podbeskidzie,0,1
2015-05-23T20:30:00,Jagiellonia,0,2,Wisla,1,1
2015-05-23T18:00:00,Pogon Szczecin,0,0,Legia,0,1
2015-05-23T15:30:00,Slask Wroclaw,0,1,Gornik Z.,0,1
2015-05-22T20:30:00,Cracovia,1,1,Korona Kielce,1,1
2015-05-22T18:00:00,Zawisza,1,1,Leczna,0,1
2015-05-20T20:30:00,Legia,0,1,Jagiellonia,0,0
2015-05-20T20:30:00,Wisla,1,2,Pogon Szczecin,0,2
2015-05-20T18:00:00,Gornik Z.,0,0,Lechia Gdansk,0,1
2015-05-20T18:00:00,Lech Poznan,3,3,Slask Wroclaw,0,0
2015-05-19T20:30:00,Cracovia,0,3,Zawisza,0,1
2015-05-19T20:30:00,Piast Gliwice,2,6,GKS Belchatow,1,3
2015-05-19T18:00:00,Korona Kielce,0,1,Leczna,2,3
2015-05-19T18:00:00,Podbeskidzie,0,0,Ruch Chorzow,0,2
