datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2009-05-30T17:00:00,Arka Gdynia,,2,Odra Wodzislaw,,1
2009-05-30T17:00:00,Gornik Z.,,0,Polonia Warszawa,,1
2009-05-30T17:00:00,Jagiellonia,,0,GKS Belchatow,,2
2009-05-30T17:00:00,Lech Poznan,,2,Cracovia,,2
2009-05-30T17:00:00,Legia,,4,Ruch Chorzow,,1
2009-05-30T17:00:00,LKS Lodz,,2,Polonia Bytom,,0
2009-05-30T17:00:00,Piast Gliwice,,0,Lechia Gdansk,,2
2009-05-30T17:00:00,Wisla,,2,Slask Wroclaw,,0
2009-05-23T17:00:00,Cracovia,,0,Gornik Z.,,0
2009-05-23T17:00:00,GKS Belchatow,,1,Arka Gdynia,,1
2009-05-23T17:00:00,Lechia Gdansk,,2,Wisla,,4
2009-05-23T17:00:00,Odra Wodzislaw,,0,Piast Gliwice,,2
2009-05-23T17:00:00,Polonia Bytom,,1,Jagiellonia,,0
2009-05-23T17:00:00,Polonia Warszawa,,3,Lech Poznan,,3
2009-05-23T17:00:00,Ruch Chorzow,,2,LKS Lodz,,0
2009-05-23T17:00:00,Slask Wroclaw,,1,Legia,,1
2009-05-17T17:00:00,LKS Lodz,,0,Wisla,,4
2009-05-17T14:45:00,Piast Gliwice,,0,Slask Wroclaw,,1
2009-05-16T19:15:00,Cracovia,,1,GKS Belchatow,,0
2009-05-16T17:45:00,Legia,,3,Polonia Bytom,,1
2009-05-16T17:00:00,Gornik Z.,,2,Odra Wodzislaw,,0
2009-05-16T14:45:00,Jagiellonia,,2,Polonia Warszawa,,1
2009-05-15T20:00:00,Lech Poznan,,1,Lechia Gdansk,,0
2009-05-15T17:45:00,Arka Gdynia,,1,Ruch Chorzow,,2
2009-05-10T17:00:00,Wisla,,1,Legia,,0
2009-05-10T14:45:00,Ruch Chorzow,,0,Piast Gliwice,,0
2009-05-09T19:15:00,Odra Wodzislaw,,2,Cracovia,,1
2009-05-09T17:00:00,LKS Lodz,,2,Gornik Z.,,0
2009-05-09T16:45:00,Slask Wroclaw,,0,Lech Poznan,,2
2009-05-09T14:45:00,Polonia Warszawa,,1,GKS Belchatow,,0
2009-05-08T20:00:00,Polonia Bytom,,2,Arka Gdynia,,1
2009-05-08T17:45:00,Lechia Gdansk,,3,Jagiellonia,,1
2009-05-03T17:00:00,Lech Poznan,,1,Ruch Chorzow,,1
2009-05-03T14:45:00,Cracovia,,1,Polonia Warszawa,,0
2009-05-02T19:15:00,Gornik Z.,,2,Lechia Gdansk,,0
2009-05-02T17:00:00,Jagiellonia,,1,Odra Wodzislaw,,2
