datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2021-06-19T11:45:00,KKS Kalisz,0,0,Skra,1,3
2021-06-15T14:30:00,Suwalki,2,2,KKS Kalisz,2,3
2021-06-15T12:00:00,Chojniczanka,0,0,Skra,1,1
2021-06-12T12:00:00,Bytovia Bytow,3,4,Pogon Siedlce,1,3
2021-06-12T12:00:00,Chojniczanka,0,1,Polkowice,1,1
2021-06-12T12:00:00,Garbarnia,2,4,Skra,3,4
2021-06-12T12:00:00,KKS Kalisz,0,1,Elblag,0,1
2021-06-12T12:00:00,Lublin,1,5,Ol. Grudziadz,0,2
2021-06-12T12:00:00,Ostroda,1,3,GKS Katowice,1,2
2021-06-12T12:00:00,S. Rzeszow,0,0,Lech Poznan 2,1,2
2021-06-12T12:00:00,Slask Wroclaw 2,2,5,Blekitni Stargard,1,1
2021-06-12T12:00:00,Suwalki,0,0,Pruszkow,0,0
2021-06-07T20:25:00,GKS Katowice,2,4,S. Rzeszow,1,1
2021-06-06T17:00:00,Pogon Siedlce,1,3,Lublin,0,3
2021-06-05T16:30:00,Hutnik Krakow,1,1,Ostroda,1,2
2021-06-05T16:30:00,Ol. Grudziadz,0,2,Suwalki,1,2
2021-06-05T16:30:00,Polkowice,2,5,Bytovia Bytow,0,0
2021-06-05T15:00:00,Elblag,0,1,Slask Wroclaw 2,2,4
2021-06-05T14:00:00,Pruszkow,0,0,KKS Kalisz,2,2
2021-06-05T13:00:00,Blekitni Stargard,0,0,Garbarnia,0,0
2021-06-05T13:00:00,Lech Poznan 2,0,1,Chojniczanka,1,2
2021-05-29T18:00:00,Bytovia Bytow,1,1,Lech Poznan 2,1,2
2021-05-29T18:00:00,KKS Kalisz,1,2,Ol. Grudziadz,1,1
2021-05-29T18:00:00,Lublin,0,0,Polkowice,0,0
2021-05-29T17:30:00,Skra,0,1,Blekitni Stargard,1,1
2021-05-29T17:00:00,Garbarnia,1,2,Elblag,2,3
2021-05-29T16:00:00,Suwalki,2,3,Pogon Siedlce,1,2
2021-05-29T12:00:00,Slask Wroclaw 2,0,0,Pruszkow,1,1
2021-05-28T19:44:00,S. Rzeszow,2,2,Hutnik Krakow,2,3
2021-05-28T18:45:00,Chojniczanka,0,0,GKS Katowice,2,3
2021-05-26T15:00:00,Pruszkow,0,0,Polkowice,0,1
2021-05-23T18:00:00,GKS Katowice,1,4,Bytovia Bytow,0,1
2021-05-23T18:00:00,Ol. Grudziadz,0,2,Slask Wroclaw 2,2,4
2021-05-23T17:00:00,Hutnik Krakow,0,0,Chojniczanka,0,0
2021-05-23T16:00:00,Pogon Siedlce,0,0,KKS Kalisz,0,0
2021-05-23T15:00:00,Elblag,0,1,Skra,0,0
2021-05-23T13:00:00,Lech Poznan 2,0,0,Lublin,0,0
2021-05-22T19:44:00,S. Rzeszow,2,3,Ostroda,0,1
2021-05-22T18:15:00,Polkowice,0,2,Suwalki,0,2
2021-05-22T15:00:00,Pruszkow,0,0,Garbarnia,0,0
2021-05-19T19:30:00,Chojniczanka,0,2,Ostroda,0,0
2021-05-19T18:00:00,Bytovia Bytow,0,1,Hutnik Krakow,1,1
2021-05-19T18:00:00,KKS Kalisz,1,1,Polkowice,1,1
2021-05-19T18:00:00,Lublin,1,2,GKS Katowice,0,1
2021-05-19T17:00:00,Blekitni Stargard,0,0,Elblag,0,0
2021-05-19T17:00:00,Garbarnia,2,2,Ol. Grudziadz,2,3
2021-05-19T16:00:00,Slask Wroclaw 2,0,1,Pogon Siedlce,1,2
2021-05-19T16:00:00,Suwalki,0,1,Lech Poznan 2,0,0
2021-05-19T15:00:00,Skra,2,3,Pruszkow,1,2
2021-05-16T19:44:00,S. Rzeszow,0,1,Chojniczanka,0,1
2021-05-15T17:00:00,Hutnik Krakow,3,5,Lublin,0,0
2021-05-15T17:00:00,Lech Poznan 2,1,2,KKS Kalisz,0,0
2021-05-15T17:00:00,Ol. Grudziadz,0,2,Skra,0,0
2021-05-15T17:00:00,Ostroda,0,1,Bytovia Bytow,0,1
2021-05-15T17:00:00,Pogon Siedlce,0,1,Garbarnia,2,2
2021-05-15T17:00:00,Polkowice,1,2,Slask Wroclaw 2,0,2
2021-05-15T15:15:00,GKS Katowice,0,2,Suwalki,2,2
2021-05-15T15:00:00,Pruszkow,0,0,Blekitni Stargard,1,2
2021-05-12T16:00:00,Polkowice,2,3,Ol. Grudziadz,0,0
2021-05-12T13:00:00,S. Rzeszow,0,0,Garbarnia,0,1
2021-05-11T16:00:00,Blekitni Stargard,0,0,GKS Katowice,0,0
2021-05-09T17:00:00,Elblag,2,2,Pruszkow,0,1
2021-05-08T19:00:00,Lublin,1,4,Ostroda,1,1
2021-05-08T17:30:00,KKS Kalisz,1,2,GKS Katowice,0,1
2021-05-08T17:30:00,Skra,1,2,Pogon Siedlce,1,2
2021-05-08T16:00:00,Garbarnia,1,2,Polkowice,0,2
2021-05-08T16:00:00,Suwalki,0,0,Hutnik Krakow,0,1
2021-05-08T13:00:00,Blekitni Stargard,1,2,Ol. Grudziadz,1,3
2021-05-08T13:00:00,Bytovia Bytow,0,0,S. Rzeszow,0,2
2021-05-08T13:00:00,Slask Wroclaw 2,0,0,Lech Poznan 2,1,1
2021-05-05T18:00:00,GKS Katowice,1,1,Elblag,0,0
2021-05-03T15:00:00,Polkowice,0,2,Skra,0,1
2021-05-02T13:30:00,Chojniczanka,3,3,Bytovia Bytow,0,1
2021-05-02T13:00:00,Lech Poznan 2,0,0,Garbarnia,0,0
2021-05-02T13:00:00,S. Rzeszow,1,1,Lublin,0,3
2021-05-01T18:00:00,GKS Katowice,0,1,Slask Wroclaw 2,3,3
2021-05-01T17:00:00,Hutnik Krakow,0,0,KKS Kalisz,1,2
2021-05-01T17:00:00,Ol. Grudziadz,1,3,Elblag,0,1
2021-05-01T17:00:00,Ostroda,0,0,Suwalki,0,1
2021-05-01T17:00:00,Pogon Siedlce,1,2,Blekitni Stargard,1,2
2021-04-28T18:00:00,KKS Kalisz,0,2,Ostroda,0,0
2021-04-28T18:00:00,Lublin,0,2,Chojniczanka,1,2
2021-04-28T17:00:00,Garbarnia,1,2,GKS Katowice,0,0
2021-04-28T16:15:00,Suwalki,0,1,S. Rzeszow,0,1
2021-04-28T15:30:00,Pruszkow,1,2,Ol. Grudziadz,0,0
2021-04-28T15:00:00,Elblag,0,0,Pogon Siedlce,0,0
2021-04-28T15:00:00,Skra,0,0,Lech Poznan 2,0,0
2021-04-28T15:00:00,Slask Wroclaw 2,0,0,Hutnik Krakow,0,0
2021-04-28T13:00:00,Blekitni Stargard,0,0,Polkowice,0,0
2021-04-25T13:00:00,Lech Poznan 2,0,1,Blekitni Stargard,0,1
2021-04-24T18:30:00,GKS Katowice,0,2,Skra,1,1
2021-04-24T18:00:00,Bytovia Bytow,0,0,Lublin,0,1
2021-04-24T17:00:00,Ostroda,3,4,Slask Wroclaw 2,1,1
2021-04-24T17:00:00,Pogon Siedlce,2,2,Pruszkow,0,2
2021-04-24T16:00:00,Hutnik Krakow,0,2,Garbarnia,0,0
2021-04-24T13:00:00,Polkowice,0,2,Elblag,0,1
2021-04-23T19:30:00,Chojniczanka,1,1,Suwalki,1,1
2021-04-23T13:00:00,S. Rzeszow,2,3,KKS Kalisz,1,3
2021-04-21T13:00:00,Garbarnia,1,2,Lublin,1,1
2021-04-18T17:50:00,KKS Kalisz,0,0,Chojniczanka,1,2
2021-04-18T17:00:00,Ol. Grudziadz,0,1,Pogon Siedlce,2,2
2021-04-18T13:00:00,Slask Wroclaw 2,1,3,S. Rzeszow,1,4
2021-04-17T16:00:00,Elblag,1,3,Lech Poznan 2,1,1
2021-04-17T16:00:00,Skra,0,0,Hutnik Krakow,0,1
2021-04-17T16:00:00,Suwalki,2,4,Bytovia Bytow,1,1
2021-04-17T15:00:00,Garbarnia,1,2,Ostroda,0,1
2021-04-14T19:30:00,Chojniczanka,2,6,Slask Wroclaw 2,0,0
2021-04-14T18:00:00,Lublin,0,0,Suwalki,1,1
2021-04-14T18:00:00,Ostroda,1,2,Skra,0,1
2021-04-14T17:00:00,Bytovia Bytow,0,2,KKS Kalisz,1,3
2021-04-14T16:30:00,Hutnik Krakow,2,4,Blekitni Stargard,1,1
2021-04-14T13:00:00,Lech Poznan 2,0,2,Pruszkow,3,5
2021-04-11T13:00:00,Slask Wroclaw 2,1,3,Bytovia Bytow,0,2
2021-04-10T20:15:00,Ol. Grudziadz,1,1,Lech Poznan 2,1,3
2021-04-10T18:00:00,KKS Kalisz,0,1,Lublin,0,1
2021-04-10T16:00:00,Hutnik Krakow,0,0,Elblag,0,0
2021-04-10T16:00:00,Pogon Siedlce,1,1,Polkowice,2,2
2021-04-10T15:00:00,Garbarnia,0,2,Chojniczanka,1,1
2021-04-10T13:00:00,Blekitni Stargard,0,3,Ostroda,1,1
2021-04-10T13:00:00,Skra,1,3,S. Rzeszow,2,4
2021-04-08T18:00:00,Pruszkow,1,1,GKS Katowice,0,0
2021-04-07T17:00:00,Lublin,0,0,Skra,0,0
