datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2019-05-19T18:00:00,Cracovia,0,0,Pogon Szczecin,1,3
2019-05-19T18:00:00,Lechia Gdansk,1,2,Jagiellonia,0,0
2019-05-19T18:00:00,Legia,1,2,Zaglebie,1,2
2019-05-19T18:00:00,Piast Gliwice,1,1,Lech Poznan,0,0
2019-05-18T15:30:00,Korona Kielce,0,0,Gornik Z.,0,3
2019-05-18T15:30:00,Slask Wroclaw,2,4,Arka Gdynia,0,0
2019-05-18T15:30:00,Wisla,1,4,Legnica,1,5
2019-05-18T15:30:00,Wisla Plock,0,0,Zaglebie Sosnowiec,0,0
2019-05-15T20:30:00,Jagiellonia,1,1,Legia,0,0
2019-05-15T20:30:00,Lech Poznan,0,2,Lechia Gdansk,0,1
2019-05-15T20:30:00,Pogon Szczecin,0,0,Piast Gliwice,0,0
2019-05-15T20:30:00,Zaglebie,0,1,Cracovia,0,2
2019-05-14T20:30:00,Gornik Z.,0,0,Wisla Plock,1,1
2019-05-14T20:30:00,Legnica,0,0,Slask Wroclaw,0,2
2019-05-14T20:30:00,Zaglebie Sosnowiec,1,2,Korona Kielce,2,4
2019-05-13T18:00:00,Arka Gdynia,1,3,Wisla,1,1
2019-05-12T18:00:00,Lechia Gdansk,0,1,Zaglebie,1,1
2019-05-12T15:30:00,Legia,0,1,Pogon Szczecin,1,1
2019-05-12T13:00:00,Piast Gliwice,1,2,Jagiellonia,0,1
2019-05-11T20:30:00,Cracovia,1,1,Lech Poznan,0,0
2019-05-11T18:00:00,Legnica,0,0,Gornik Z.,0,1
2019-05-11T15:30:00,Slask Wroclaw,1,2,Wisla Plock,1,1
2019-05-10T20:30:00,Wisla,0,1,Korona Kielce,0,0
2019-05-10T18:00:00,Arka Gdynia,0,2,Zaglebie Sosnowiec,0,0
2019-05-06T18:00:00,Jagiellonia,2,4,Pogon Szczecin,1,2
2019-05-05T18:00:00,Cracovia,0,2,Lechia Gdansk,0,0
2019-05-05T15:30:00,Zaglebie Sosnowiec,0,2,Slask Wroclaw,1,4
2019-05-04T20:30:00,Legia,0,0,Piast Gliwice,1,1
2019-05-04T18:00:00,Lech Poznan,0,1,Zaglebie,0,1
2019-05-04T15:30:00,Korona Kielce,0,0,Legnica,0,0
2019-05-03T20:30:00,Gornik Z.,1,1,Wisla,1,2
2019-05-03T18:00:00,Wisla Plock,0,1,Arka Gdynia,0,1
2019-04-29T18:00:00,Gornik Z.,3,4,Zaglebie Sosnowiec,0,0
2019-04-28T18:00:00,Wisla,1,1,Slask Wroclaw,1,1
2019-04-28T15:30:00,Korona Kielce,0,0,Arka Gdynia,1,2
2019-04-28T13:00:00,Legnica,3,3,Wisla Plock,1,2
2019-04-27T20:30:00,Lechia Gdansk,1,1,Legia,0,3
2019-04-27T18:00:00,Pogon Szczecin,1,1,Lech Poznan,0,1
2019-04-26T20:30:00,Piast Gliwice,1,3,Cracovia,1,1
2019-04-26T18:00:00,Zaglebie,2,2,Jagiellonia,0,0
2019-04-25T20:30:00,Slask Wroclaw,1,1,Gornik Z.,0,2
2019-04-25T20:30:00,Zaglebie Sosnowiec,0,2,Wisla,1,1
2019-04-25T18:00:00,Arka Gdynia,1,2,Legnica,0,0
2019-04-25T18:00:00,Wisla Plock,2,2,Korona Kielce,1,1
2019-04-24T20:30:00,Lech Poznan,0,1,Legia,0,0
2019-04-24T18:00:00,Pogon Szczecin,0,3,Lechia Gdansk,0,4
2019-04-23T20:30:00,Cracovia,0,0,Jagiellonia,1,1
2019-04-23T18:00:00,Piast Gliwice,1,1,Zaglebie,0,0
2019-04-22T18:00:00,Gornik Z.,0,1,Arka Gdynia,0,0
2019-04-22T18:00:00,Korona Kielce,1,2,Slask Wroclaw,0,0
2019-04-22T15:30:00,Legnica,2,2,Zaglebie Sosnowiec,1,2
2019-04-22T15:30:00,Wisla,2,2,Wisla Plock,1,3
2019-04-20T20:30:00,Legia,0,1,Cracovia,0,0
2019-04-20T18:00:00,Jagiellonia,1,3,Lech Poznan,2,3
2019-04-20T18:00:00,Zaglebie,2,2,Pogon Szczecin,2,3
2019-04-20T15:30:00,Lechia Gdansk,0,0,Piast Gliwice,1,2
2019-04-13T18:00:00,Arka Gdynia,0,1,Legnica,0,1
2019-04-13T18:00:00,Cracovia,1,4,Lechia Gdansk,1,2
2019-04-13T18:00:00,Lech Poznan,0,0,Jagiellonia,1,2
2019-04-13T18:00:00,Legia,0,3,Pogon Szczecin,1,1
