datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2017-06-04T18:00:00,Jagiellonia,0,2,Lech Poznan,2,2
2017-06-04T18:00:00,Legia,0,0,Lechia Gdansk,0,0
2017-06-04T18:00:00,Pogon Szczecin,0,3,Korona Kielce,0,0
2017-06-04T18:00:00,Wisla,1,1,Termalica B-B.,0,2
2017-06-02T20:30:00,Cracovia,0,0,Piast Gliwice,0,1
2017-06-02T20:30:00,Ruch Chorzow,0,2,Leczna,2,2
2017-06-02T20:30:00,Wisla Plock,0,0,Slask Wroclaw,1,3
2017-06-02T20:30:00,Zaglebie,0,1,Arka Gdynia,2,3
2017-05-28T18:00:00,Korona Kielce,0,0,Legia,1,1
2017-05-28T18:00:00,Lech Poznan,2,2,Wisla,1,1
2017-05-28T18:00:00,Lechia Gdansk,2,4,Pogon Szczecin,0,0
2017-05-28T18:00:00,Termalica B-B.,0,1,Jagiellonia,2,2
2017-05-27T18:00:00,Arka Gdynia,1,1,Ruch Chorzow,1,1
2017-05-27T18:00:00,Leczna,1,1,Zaglebie,1,3
2017-05-27T18:00:00,Piast Gliwice,0,4,Wisla Plock,0,0
2017-05-27T18:00:00,Slask Wroclaw,2,2,Cracovia,0,0
2017-05-22T18:00:00,Termalica B-B.,0,0,Korona Kielce,1,2
2017-05-21T18:00:00,Jagiellonia,0,0,Legia,0,0
2017-05-21T15:30:00,Lech Poznan,0,0,Lechia Gdansk,0,0
2017-05-20T20:30:00,Wisla,4,4,Pogon Szczecin,0,0
2017-05-20T18:00:00,Piast Gliwice,2,2,Leczna,1,1
2017-05-20T15:30:00,Wisla Plock,0,1,Zaglebie,1,2
2017-05-19T20:30:00,Cracovia,2,2,Ruch Chorzow,0,0
2017-05-19T18:00:00,Slask Wroclaw,3,4,Arka Gdynia,1,1
2017-05-17T20:30:00,Legia,1,2,Lech Poznan,0,0
2017-05-17T20:30:00,Pogon Szczecin,0,1,Termalica B-B.,0,1
2017-05-17T18:00:00,Korona Kielce,1,3,Wisla,2,2
2017-05-17T18:00:00,Lechia Gdansk,2,4,Jagiellonia,0,0
2017-05-16T20:30:00,Ruch Chorzow,0,0,Piast Gliwice,0,3
2017-05-16T20:30:00,Zaglebie,1,2,Slask Wroclaw,0,0
2017-05-16T18:00:00,Arka Gdynia,0,0,Wisla Plock,1,1
2017-05-16T18:00:00,Leczna,0,3,Cracovia,0,0
2017-05-14T18:00:00,Legia,2,6,Termalica B-B.,0,0
2017-05-14T15:30:00,Lech Poznan,1,2,Pogon Szczecin,0,0
2017-05-14T15:30:00,Lechia Gdansk,0,0,Korona Kielce,0,0
2017-05-13T20:30:00,Wisla Plock,1,1,Cracovia,1,1
2017-05-13T18:00:00,Slask Wroclaw,1,6,Ruch Chorzow,0,0
2017-05-13T15:30:00,Jagiellonia,1,2,Wisla,0,0
2017-05-12T20:30:00,Arka Gdynia,1,1,Leczna,0,0
2017-05-12T18:00:00,Zaglebie,1,3,Piast Gliwice,1,1
2017-05-08T18:00:00,Cracovia,1,2,Arka Gdynia,0,0
2017-05-07T18:00:00,Pogon Szczecin,0,0,Legia,0,2
2017-05-07T15:30:00,Termalica B-B.,0,0,Lech Poznan,1,3
2017-05-06T20:30:00,Wisla,0,0,Lechia Gdansk,0,1
2017-05-06T18:00:00,Leczna,1,2,Wisla Plock,2,3
2017-05-06T15:30:00,Piast Gliwice,1,2,Slask Wroclaw,0,0
2017-05-05T20:30:00,Korona Kielce,0,1,Jagiellonia,0,1
2017-05-05T18:00:00,Ruch Chorzow,0,1,Zaglebie,0,1
2017-05-01T18:00:00,Zaglebie,0,2,Cracovia,2,2
2017-04-30T18:00:00,Legia,0,1,Wisla,0,1
2017-04-30T15:30:00,Jagiellonia,1,1,Pogon Szczecin,0,0
2017-04-29T20:30:00,Lechia Gdansk,1,2,Termalica B-B.,0,0
2017-04-29T18:00:00,Slask Wroclaw,0,0,Leczna,1,2
2017-04-29T15:30:00,Wisla Plock,0,1,Ruch Chorzow,0,1
2017-04-28T20:30:00,Lech Poznan,2,3,Korona Kielce,2,2
2017-04-28T18:00:00,Arka Gdynia,1,1,Piast Gliwice,0,1
2017-04-22T18:00:00,Arka Gdynia,1,1,Wisla Plock,0,1
2017-04-22T18:00:00,Cracovia,1,1,Legia,1,2
2017-04-22T18:00:00,Korona Kielce,0,0,Termalica B-B.,0,1
2017-04-22T18:00:00,Lech Poznan,2,3,Ruch Chorzow,0,0
2017-04-22T18:00:00,Leczna,1,3,Wisla,0,1
2017-04-22T18:00:00,Piast Gliwice,0,0,Jagiellonia,1,1
2017-04-22T18:00:00,Pogon Szczecin,1,3,Lechia Gdansk,1,1
2017-04-22T18:00:00,Zaglebie,1,1,Slask Wroclaw,1,1
2017-04-17T18:00:00,Lechia Gdansk,1,2,Arka Gdynia,0,1
2017-04-17T18:00:00,Wisla,0,1,Zaglebie,0,0
2017-04-17T15:30:00,Legia,0,0,Korona Kielce,0,0
2017-04-17T15:30:00,Termalica B-B.,1,1,Piast Gliwice,0,0
2017-04-15T20:30:00,Wisla Plock,0,0,Lech Poznan,2,3
2017-04-15T18:00:00,Jagiellonia,0,0,Cracovia,0,0
2017-04-15T15:30:00,Ruch Chorzow,1,1,Pogon Szczecin,1,2
2017-04-15T15:30:00,Slask Wroclaw,2,2,Leczna,0,2
2017-04-10T18:00:00,Korona Kielce,0,1,Ruch Chorzow,0,0
2017-04-09T18:00:00,Lech Poznan,0,1,Legia,0,2
2017-04-09T15:30:00,Piast Gliwice,1,1,Lechia Gdansk,1,1
2017-04-08T20:30:00,Termalica B-B.,1,2,Wisla,1,3
2017-04-08T18:00:00,Pogon Szczecin,1,5,Arka Gdynia,1,1
2017-04-08T15:30:00,Leczna,2,2,Wisla Plock,0,3
2017-04-07T20:30:00,Zaglebie,1,3,Jagiellonia,2,4
2017-04-07T18:00:00,Cracovia,1,1,Slask Wroclaw,0,0
2017-04-03T18:00:00,Ruch Chorzow,0,0,Piast Gliwice,0,0
2017-04-02T18:00:00,Lechia Gdansk,1,1,Zaglebie,0,0
2017-04-02T15:30:00,Jagiellonia,0,1,Termalica B-B.,0,0
2017-04-01T20:30:00,Legia,0,2,Pogon Szczecin,0,0
2017-04-01T18:00:00,Wisla Plock,3,4,Cracovia,1,1
2017-04-01T15:30:00,Arka Gdynia,0,2,Leczna,2,4
2017-03-31T20:30:00,Wisla,0,0,Lech Poznan,0,0
2017-03-31T18:00:00,Slask Wroclaw,1,3,Korona Kielce,0,0
2017-03-19T18:00:00,Lechia Gdansk,0,1,Legia,0,2
2017-03-19T15:30:00,Korona Kielce,1,3,Cracovia,0,0
2017-03-19T15:30:00,Lech Poznan,0,0,Leczna,0,0
2017-03-18T20:30:00,Pogon Szczecin,0,0,Jagiellonia,0,0
2017-03-18T18:00:00,Zaglebie,0,0,Ruch Chorzow,0,1
2017-03-18T15:30:00,Piast Gliwice,1,3,Arka Gdynia,0,2
2017-03-17T20:30:00,Wisla,1,3,Wisla Plock,1,2
2017-03-17T18:00:00,Termalica B-B.,1,1,Slask Wroclaw,1,2
2017-03-13T18:00:00,Cracovia,0,1,Zaglebie,1,1
2017-03-12T18:00:00,Legia,1,1,Wisla,0,0
2017-03-12T15:30:00,Leczna,1,2,Pogon Szczecin,2,2
2017-03-11T20:30:00,Jagiellonia,2,4,Korona Kielce,1,1
2017-03-11T18:00:00,Ruch Chorzow,0,2,Lechia Gdansk,0,1
2017-03-11T15:30:00,Wisla Plock,1,1,Termalica B-B.,0,0
2017-03-10T20:30:00,Arka Gdynia,0,1,Lech Poznan,3,4
2017-03-10T18:10:00,Slask Wroclaw,0,3,Piast Gliwice,1,4
2017-03-07T18:00:00,Leczna,0,0,Zaglebie,1,1
2017-03-06T18:00:00,Pogon Szczecin,0,1,Wisla Plock,1,1
2017-03-05T18:00:00,Lech Poznan,0,1,Lechia Gdansk,0,0
2017-03-05T15:30:00,Jagiellonia,2,4,Slask Wroclaw,1,1
2017-03-04T20:30:00,Piast Gliwice,0,1,Wisla,0,2
2017-03-04T18:00:00,Termalica B-B.,0,0,Ruch Chorzow,0,0
2017-03-04T15:30:00,Cracovia,0,1,Arka Gdynia,1,1
2017-03-03T20:30:00,Zaglebie,0,1,Legia,1,3
2017-03-03T18:00:00,Korona Kielce,0,2,Leczna,0,1
2017-02-27T18:00:00,Ruch Chorzow,1,2,Slask Wroclaw,0,0
2017-02-26T18:00:00,Legia,1,1,Termalica B-B.,1,1
2017-02-26T15:30:00,Leczna,0,1,Piast Gliwice,0,0
2017-02-25T20:30:00,Wisla,2,3,Jagiellonia,0,1
2017-02-25T18:00:00,Lechia Gdansk,1,4,Cracovia,1,2
2017-02-25T15:30:00,Wisla Plock,1,2,Zaglebie,1,1
2017-02-24T20:30:00,Pogon Szczecin,0,0,Lech Poznan,2,3
2017-02-24T18:00:00,Arka Gdynia,1,4,Korona Kielce,1,1
2017-02-20T18:00:00,Zaglebie,0,1,Arka Gdynia,0,0
2017-02-19T18:00:00,Legia,0,1,Ruch Chorzow,2,3
2017-02-19T15:30:00,Cracovia,0,1,Pogon Szczecin,0,1
2017-02-18T20:30:00,Piast Gliwice,0,0,Lech Poznan,2,3
2017-02-18T18:00:00,Slask Wroclaw,0,1,Wisla,0,0
2017-02-18T15:30:00,Korona Kielce,2,4,Wisla Plock,1,2
2017-02-17T20:30:00,Termalica B-B.,0,1,Lechia Gdansk,0,1
2017-02-17T18:00:00,Jagiellonia,2,5,Leczna,0,0
2017-02-13T18:00:00,Pogon Szczecin,0,2,Piast Gliwice,1,1
2017-02-12T18:00:00,Lechia Gdansk,1,3,Jagiellonia,0,0
2017-02-12T15:30:00,Wisla Plock,0,1,Slask Wroclaw,0,1
2017-02-11T20:30:00,Arka Gdynia,0,0,Legia,1,1
2017-02-11T18:00:00,Wisla,1,2,Korona Kielce,0,0
2017-02-10T20:30:00,Lech Poznan,1,3,Termalica B-B.,0,0
2017-02-10T18:00:00,Ruch Chorzow,0,0,Cracovia,0,1
2016-12-19T18:00:00,Zaglebie,1,2,Piast Gliwice,1,1
2016-12-18T18:00:00,Legia,2,5,Leczna,0,0
2016-12-18T15:30:00,Slask Wroclaw,0,0,Arka Gdynia,0,2
2016-12-17T20:30:00,Cracovia,1,1,Lech Poznan,0,1
2016-12-17T18:00:00,Jagiellonia,0,1,Wisla Plock,0,2
2016-12-17T15:30:00,Korona Kielce,0,2,Lechia Gdansk,0,0
2016-12-16T20:30:00,Ruch Chorzow,0,1,Wisla,0,0
2016-12-16T18:00:00,Termalica B-B.,1,2,Pogon Szczecin,0,0
2016-12-12T18:00:00,Arka Gdynia,2,2,Jagiellonia,1,3
2016-12-11T18:00:00,Piast Gliwice,0,1,Legia,2,5
2016-12-11T15:30:00,Lech Poznan,0,1,Korona Kielce,0,0
2016-12-10T20:30:00,Wisla,1,1,Cracovia,0,1
2016-12-10T18:00:00,Wisla Plock,2,4,Ruch Chorzow,2,3
2016-12-10T15:30:00,Leczna,0,3,Termalica B-B.,0,0
2016-12-09T20:30:00,Lechia Gdansk,1,3,Slask Wroclaw,0,0
2016-12-09T18:00:00,Pogon Szczecin,0,1,Zaglebie,0,1
2016-12-05T18:00:00,Ruch Chorzow,0,1,Arka Gdynia,2,2
2016-12-04T18:00:00,Jagiellonia,1,2,Lech Poznan,1,1
2016-12-04T15:30:00,Cracovia,0,1,Leczna,0,1
2016-12-03T20:30:00,Wisla,2,3,Lechia Gdansk,0,0
2016-12-03T18:00:00,Slask Wroclaw,1,1,Pogon Szczecin,1,1
2016-12-03T15:30:00,Piast Gliwice,0,1,Korona Kielce,0,0
2016-12-02T20:30:00,Legia,1,2,Wisla Plock,0,2
2016-12-02T18:00:00,Termalica B-B.,0,0,Zaglebie,1,1
2016-11-28T18:00:00,Lechia Gdansk,1,3,Leczna,0,0
2016-11-27T18:00:00,Slask Wroclaw,0,0,Legia,4,4
2016-11-27T15:30:00,Wisla Plock,0,0,Piast Gliwice,0,0
2016-11-26T20:30:00,Wisla,3,5,Arka Gdynia,1,1
2016-11-26T18:00:00,Ruch Chorzow,0,1,Jagiellonia,2,2
2016-11-26T15:30:00,Korona Kielce,2,4,Pogon Szczecin,0,1
2016-11-25T20:30:00,Zaglebie,0,0,Lech Poznan,3,3
2016-11-25T18:00:00,Cracovia,0,1,Termalica B-B.,2,3
2016-11-21T18:00:00,Korona Kielce,2,2,Zaglebie,0,1
2016-11-20T18:00:00,Lech Poznan,1,3,Slask Wroclaw,0,0
2016-11-20T15:30:00,Arka Gdynia,1,1,Termalica B-B.,2,3
2016-11-19T20:30:00,Lechia Gdansk,0,2,Wisla Plock,1,1
2016-11-19T18:00:00,Pogon Szczecin,4,6,Wisla,1,2
2016-11-19T15:30:00,Leczna,0,0,Ruch Chorzow,2,4
2016-11-18T20:30:00,Jagiellonia,0,1,Legia,1,4
