datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2016-06-05T15:00:00,Arka Gdynia,0,1,Chrobry Glogow,1,1
2016-06-05T15:00:00,GKS Belchatow,2,5,Bytovia Bytow,0,1
2016-06-05T15:00:00,GKS Katowice,1,2,Wisla Plock,1,1
2016-06-05T15:00:00,Legnica,0,1,Stomil Olsztyn,0,0
2016-06-05T15:00:00,Pogon Siedlce,0,1,Chojniczanka,0,0
2016-06-05T15:00:00,Sandecja Nowy S.,1,1,Rozwoj Katowice,0,0
2016-06-05T15:00:00,Suwalki,2,2,Ol. Grudziadz,0,1
2016-06-05T15:00:00,Zaglebie Sosnowiec,2,2,Zawisza,0,1
2016-06-04T17:00:00,Kluczbork,,3,Zabki,,0
2016-05-29T15:00:00,Bytovia Bytow,0,0,Legnica,0,0
2016-05-29T15:00:00,Chojniczanka,3,3,Kluczbork,0,1
2016-05-29T15:00:00,Chrobry Glogow,1,1,Zaglebie Sosnowiec,0,3
2016-05-29T15:00:00,Ol. Grudziadz,0,3,Sandecja Nowy S.,2,2
2016-05-29T15:00:00,Rozwoj Katowice,0,2,GKS Belchatow,1,1
2016-05-29T15:00:00,Stomil Olsztyn,2,2,Pogon Siedlce,0,0
2016-05-29T15:00:00,Wisla Plock,0,0,Suwalki,0,0
2016-05-29T15:00:00,Zawisza,0,0,GKS Katowice,0,3
2016-05-28T18:00:00,Zabki,,0,Arka Gdynia,,3
2016-05-22T12:45:00,Arka Gdynia,0,0,Chojniczanka,0,0
2016-05-21T19:00:00,Kluczbork,2,3,Stomil Olsztyn,0,0
2016-05-21T19:00:00,Suwalki,0,2,Sandecja Nowy S.,0,0
2016-05-21T18:00:00,Zaglebie Sosnowiec,,3,Zabki,,0
2016-05-21T17:00:00,GKS Belchatow,1,1,Ol. Grudziadz,0,2
2016-05-21T17:00:00,GKS Katowice,0,0,Chrobry Glogow,0,0
2016-05-21T17:00:00,Legnica,1,4,Rozwoj Katowice,0,0
2016-05-21T17:00:00,Pogon Siedlce,0,0,Bytovia Bytow,0,0
2016-05-20T18:00:00,Wisla Plock,1,5,Zawisza,0,0
2016-05-15T19:00:00,Chojniczanka,2,2,Zaglebie Sosnowiec,0,0
2016-05-15T17:00:00,Pogon Siedlce,2,2,Rozwoj Katowice,0,0
2016-05-15T17:00:00,Sandecja Nowy S.,0,2,GKS Belchatow,0,0
2016-05-15T12:45:00,Chrobry Glogow,0,2,Wisla Plock,0,0
2016-05-14T19:46:00,Bytovia Bytow,2,2,Kluczbork,0,1
2016-05-14T18:00:00,Ol. Grudziadz,0,0,Legnica,1,1
2016-05-14T18:00:00,Zawisza,0,1,Suwalki,0,2
2016-05-14T17:00:00,Zabki,,0,GKS Katowice,,3
2016-05-13T20:30:00,Stomil Olsztyn,0,0,Arka Gdynia,0,4
2016-05-11T20:30:00,Pogon Siedlce,0,1,Ol. Grudziadz,0,2
2016-05-11T19:00:00,GKS Katowice,0,2,Chojniczanka,2,2
2016-05-11T19:00:00,Kluczbork,0,1,Rozwoj Katowice,0,0
2016-05-11T19:00:00,Suwalki,0,2,GKS Belchatow,1,2
2016-05-11T18:30:00,Wisla Plock,,3,Zabki,,0
2016-05-11T18:00:00,Legnica,2,3,Sandecja Nowy S.,0,1
2016-05-11T18:00:00,Zawisza,2,4,Chrobry Glogow,1,1
2016-05-10T20:30:00,Arka Gdynia,0,1,Bytovia Bytow,0,1
2016-05-10T18:00:00,Zaglebie Sosnowiec,1,2,Stomil Olsztyn,0,1
2016-05-08T12:45:00,Chojniczanka,1,2,Wisla Plock,1,1
2016-05-07T19:10:00,Sandecja Nowy S.,2,3,Pogon Siedlce,0,0
2016-05-07T18:00:00,Ol. Grudziadz,1,1,Kluczbork,2,2
2016-05-07T17:00:00,GKS Belchatow,0,0,Legnica,0,1
2016-05-07T17:00:00,Zabki,,0,Zawisza,,3
2016-05-07T15:30:00,Stomil Olsztyn,0,0,GKS Katowice,0,0
2016-05-06T20:30:00,Rozwoj Katowice,0,1,Arka Gdynia,2,4
2016-05-06T19:45:00,Bytovia Bytow,3,3,Zaglebie Sosnowiec,0,0
2016-05-06T18:30:00,Chrobry Glogow,1,3,Suwalki,0,0
2016-05-01T12:45:00,Zaglebie Sosnowiec,0,0,Rozwoj Katowice,0,1
2016-04-30T18:00:00,Arka Gdynia,0,0,Ol. Grudziadz,0,0
2016-04-30T18:00:00,Chrobry Glogow,,3,Zabki,,0
2016-04-30T18:00:00,Pogon Siedlce,0,1,GKS Belchatow,0,0
2016-04-30T18:00:00,Zawisza,1,1,Chojniczanka,0,0
2016-04-30T16:00:00,Kluczbork,1,2,Sandecja Nowy S.,3,4
2016-04-29T20:30:00,Wisla Plock,0,0,Stomil Olsztyn,0,0
2016-04-29T19:00:00,GKS Katowice,0,0,Bytovia Bytow,1,2
2016-04-29T19:00:00,Suwalki,0,0,Legnica,0,0
2016-04-24T12:45:00,Rozwoj Katowice,1,1,GKS Katowice,1,2
2016-04-23T19:00:00,Chojniczanka,0,1,Chrobry Glogow,0,1
2016-04-23T18:00:00,Bytovia Bytow,0,1,Wisla Plock,1,2
2016-04-23T18:00:00,Ol. Grudziadz,1,4,Zaglebie Sosnowiec,0,2
2016-04-23T18:00:00,Pogon Siedlce,0,0,Legnica,0,0
2016-04-23T18:00:00,Stomil Olsztyn,1,1,Zawisza,1,1
2016-04-23T17:00:00,GKS Belchatow,0,0,Kluczbork,1,2
2016-04-23T16:30:00,Zabki,,0,Suwalki,,3
2016-04-22T20:30:00,Sandecja Nowy S.,0,0,Arka Gdynia,1,1
2016-04-17T12:45:00,Zaglebie Sosnowiec,1,2,Sandecja Nowy S.,0,0
2016-04-16T18:30:00,Suwalki,2,3,Pogon Siedlce,1,1
2016-04-16T18:00:00,Chrobry Glogow,1,3,Stomil Olsztyn,0,0
2016-04-16T18:00:00,GKS Katowice,0,0,Ol. Grudziadz,1,2
2016-04-16T18:00:00,Kluczbork,0,0,Legnica,0,0
2016-04-16T17:00:00,Zawisza,1,2,Bytovia Bytow,2,3
2016-04-16T16:00:00,Zabki,,0,Chojniczanka,,3
2016-04-15T20:30:00,Arka Gdynia,2,2,GKS Belchatow,0,1
2016-04-15T19:00:00,Wisla Plock,0,1,Rozwoj Katowice,0,0
2016-04-10T12:45:00,GKS Belchatow,1,2,Zaglebie Sosnowiec,0,0
2016-04-09T19:00:00,Pogon Siedlce,0,3,Kluczbork,0,0
2016-04-09T18:00:00,Chojniczanka,0,0,Suwalki,0,1
2016-04-09T16:00:00,Sandecja Nowy S.,0,4,GKS Katowice,0,0
2016-04-09T15:45:00,Stomil Olsztyn,,3,Zabki,,0
2016-04-09T12:00:00,Rozwoj Katowice,1,1,Zawisza,1,3
2016-04-08T18:00:00,Legnica,0,0,Arka Gdynia,0,0
2016-04-08T18:00:00,Ol. Grudziadz,0,1,Wisla Plock,0,1
2016-04-08T16:30:00,Bytovia Bytow,0,0,Chrobry Glogow,0,3
