datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2019-07-31T17:40:00,Warta Poznan,0,2,Radomiak Radom,0,0
2019-07-28T20:40:00,Warta Poznan,0,1,Termalica B-B.,0,0
2019-07-28T17:10:00,Radomiak Radom,1,3,Legnica,0,1
2019-07-25T17:40:00,Legnica,1,1,GKS Jastrzebie,0,1
2019-07-25T17:40:00,Ol. Grudziadz,0,0,Sandecja Nowy S.,0,0
2019-07-25T17:40:00,Podbeskidzie,0,0,Chrobry Glogow,0,1
2019-07-25T17:40:00,Puszcza,1,4,Radomiak Radom,0,0
2019-07-25T17:40:00,Stal Mielec,0,4,Chojniczanka,1,1
2019-07-25T17:40:00,Suwalki,0,0,Zaglebie Sosnowiec,0,2
2019-07-25T17:40:00,Termalica B-B.,0,1,Odra Opole,0,0
2019-07-25T17:40:00,Tychy,1,1,GKS Belchatow,0,0
2019-07-25T17:40:00,Warta Poznan,1,1,Stomil Olsztyn,0,2
2019-07-19T18:00:00,Odra Opole,0,1,Ol. Grudziadz,0,0
2019-07-19T17:40:00,GKS Jastrzebie,0,0,Termalica B-B.,0,0
2019-07-19T15:10:00,Radomiak Radom,1,3,Legnica,0,0
2019-07-19T12:40:00,GKS Belchatow,0,0,Puszcza,0,0
2019-07-18T17:40:00,Chojniczanka,1,1,Warta Poznan,1,2
2019-07-18T15:10:00,Sandecja Nowy S.,1,1,Podbeskidzie,0,0
2019-07-18T12:40:00,Stomil Olsztyn,1,2,Tychy,0,1
2019-07-17T20:10:00,Chrobry Glogow,3,4,Suwalki,0,1
2019-07-17T17:40:00,Zaglebie Sosnowiec,0,0,Stal Mielec,1,3
2019-07-16T20:40:00,Ol. Grudziadz,0,0,GKS Jastrzebie,0,0
2019-07-16T18:10:00,Legnica,3,3,GKS Belchatow,0,0
2019-07-15T20:40:00,Termalica B-B.,0,1,Radomiak Radom,1,1
2019-07-15T18:10:00,Podbeskidzie,2,4,Odra Opole,1,3
2019-07-15T18:00:00,Puszcza,0,0,Stomil Olsztyn,0,0
2019-07-14T20:40:00,Stal Mielec,0,1,Chrobry Glogow,0,0
2019-07-14T18:10:00,Warta Poznan,2,2,Tychy,0,2
2019-07-14T17:30:00,Suwalki,0,1,Sandecja Nowy S.,0,0
2019-07-14T17:00:00,Chojniczanka,1,1,Zaglebie Sosnowiec,0,3
2019-07-12T15:10:00,GKS Belchatow,0,0,Termalica B-B.,0,2
2019-07-12T12:40:00,Radomiak Radom,1,2,Ol. Grudziadz,0,0
2019-07-11T17:40:00,Stomil Olsztyn,1,1,Legnica,0,2
2019-07-11T15:10:00,Tychy,0,0,Puszcza,0,1
2019-07-11T12:40:00,GKS Jastrzebie,0,0,Podbeskidzie,1,3
2019-07-10T20:10:00,Zaglebie Sosnowiec,0,0,Warta Poznan,1,2
2019-07-10T18:00:00,Chojniczanka,1,3,Chrobry Glogow,1,4
2019-07-10T17:40:00,Sandecja Nowy S.,2,2,Stal Mielec,1,1
2019-07-10T16:00:00,Odra Opole,1,1,Suwalki,0,0
2019-07-05T18:00:00,Ol. Grudziadz,1,1,GKS Belchatow,2,2
2019-07-05T17:40:00,Suwalki,2,2,GKS Jastrzebie,0,0
2019-07-05T15:10:00,Termalica B-B.,1,2,Stomil Olsztyn,0,0
2019-07-05T12:40:00,Podbeskidzie,2,4,Radomiak Radom,0,2
2019-07-04T17:40:00,Warta Poznan,0,1,Puszcza,1,2
2019-07-04T15:10:00,Stal Mielec,0,1,Odra Opole,0,1
2019-07-04T12:40:00,Legnica,1,2,Tychy,1,2
2019-07-03T20:10:00,Zaglebie Sosnowiec,0,0,Chrobry Glogow,1,2
2019-07-03T17:40:00,Chojniczanka,1,2,Sandecja Nowy S.,0,1
2019-07-02T20:40:00,Stomil Olsztyn,0,2,Ol. Grudziadz,0,0
2019-07-02T18:10:00,GKS Belchatow,0,1,Podbeskidzie,0,1
2019-07-02T15:00:00,Radomiak Radom,1,3,Suwalki,0,1
