datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2000-06-21T00:00:00,Ceramika Opoczno,,3,Leczna,,0
2000-06-21T00:00:00,GKS Katowice,0,0,GKS Belchatow,0,0
2000-06-21T00:00:00,Grunwald,,2,Polonia Bytom,,0
2000-06-21T00:00:00,Hutnik Krakow,,1,Lechia Gdansk,,1
2000-06-21T00:00:00,Jeziorak,,2,Myszkow,,0
2000-06-21T00:00:00,Kietrz,,1,Ostrowiec Swietokrzyski,,2
2000-06-21T00:00:00,Korona Kielce,,0,Odra Opole,,4
2000-06-21T00:00:00,Polar Wroclaw,,7,Gornik Konin,,3
2000-06-21T00:00:00,Radomsko,0,0,Swit,0,0
2000-06-21T00:00:00,Rakow,,2,Hetman Zamosc,,1
2000-06-21T00:00:00,Siarka Tarnobrzeg,,1,Slask Wroclaw,,5
2000-06-21T00:00:00,Stal Szczecin,,1,S. Wola,,0
2000-06-18T00:00:00,GKS Belchatow,,2,Jeziorak,,0
2000-06-18T00:00:00,Gornik Konin,0,0,Kietrz,0,0
2000-06-18T00:00:00,Hetman Zamosc,,3,Ceramika Opoczno,,2
2000-06-18T00:00:00,Lechia Gdansk,,4,Rakow,,1
2000-06-18T00:00:00,Leczna,,2,Korona Kielce,,0
2000-06-18T00:00:00,Myszkow,,4,Stal Szczecin,,0
2000-06-18T00:00:00,Odra Opole,,3,Siarka Tarnobrzeg,,1
2000-06-18T00:00:00,Ostrowiec Swietokrzyski,,1,GKS Katowice,,2
2000-06-18T00:00:00,Polonia Bytom,,0,Polar Wroclaw,,2
2000-06-18T00:00:00,S. Wola,,2,Radomsko,,1
2000-06-18T00:00:00,Slask Wroclaw,,4,Grunwald,,0
2000-06-18T00:00:00,Swit,,1,Hutnik Krakow,,1
2000-06-11T00:00:00,GKS Katowice,,4,Gornik Konin,,0
2000-06-11T00:00:00,Grunwald,,4,Odra Opole,,0
2000-06-11T00:00:00,Jeziorak,,2,Ostrowiec Swietokrzyski,,1
2000-06-11T00:00:00,Polar Wroclaw,,1,Slask Wroclaw,,4
2000-06-11T00:00:00,Radomsko,,0,Hutnik Krakow,,1
2000-06-11T00:00:00,S. Wola,,5,Myszkow,,0
2000-06-10T00:00:00,Ceramika Opoczno,,1,Lechia Gdansk,,1
2000-06-10T00:00:00,Kietrz,,1,Polonia Bytom,,0
2000-06-10T00:00:00,Korona Kielce,,0,Hetman Zamosc,,5
2000-06-10T00:00:00,Rakow,,1,Swit,,2
2000-06-10T00:00:00,Siarka Tarnobrzeg,,2,Leczna,,2
2000-06-10T00:00:00,Stal Szczecin,0,0,GKS Belchatow,0,0
2000-06-07T00:00:00,GKS Belchatow,,3,S. Wola,,0
2000-06-07T00:00:00,Gornik Konin,,2,Jeziorak,,0
2000-06-07T00:00:00,Hetman Zamosc,,2,Siarka Tarnobrzeg,,1
2000-06-07T00:00:00,Hutnik Krakow,,4,Rakow,,3
2000-06-07T00:00:00,Lechia Gdansk,,2,Korona Kielce,,0
2000-06-07T00:00:00,Leczna,,2,Grunwald,,1
2000-06-07T00:00:00,Myszkow,,3,Radomsko,,2
2000-06-07T00:00:00,Odra Opole,0,0,Polar Wroclaw,0,0
2000-06-07T00:00:00,Ostrowiec Swietokrzyski,,3,Stal Szczecin,,0
2000-06-07T00:00:00,Polonia Bytom,,1,GKS Katowice,,1
2000-06-07T00:00:00,Slask Wroclaw,,1,Kietrz,,0
2000-06-07T00:00:00,Swit,,0,Ceramika Opoczno,,2
2000-06-04T00:00:00,GKS Katowice,0,0,Slask Wroclaw,0,0
2000-06-04T00:00:00,Grunwald,,0,Hetman Zamosc,,1
2000-06-03T00:00:00,Jeziorak,0,0,Polonia Bytom,0,0
2000-06-03T00:00:00,Kietrz,,2,Odra Opole,,0
2000-06-03T00:00:00,Korona Kielce,,0,Swit,,6
2000-06-03T00:00:00,Myszkow,,1,GKS Belchatow,,1
2000-06-03T00:00:00,Polar Wroclaw,,1,Leczna,,2
2000-06-03T00:00:00,Radomsko,,2,Rakow,,1
2000-06-03T00:00:00,S. Wola,,2,Ostrowiec Swietokrzyski,,1
2000-06-03T00:00:00,Stal Szczecin,,1,Gornik Konin,,1
2000-06-02T00:00:00,Siarka Tarnobrzeg,,2,Lechia Gdansk,,1
2000-05-31T00:00:00,Ceramika Opoczno,,4,Hutnik Krakow,,2
2000-05-28T00:00:00,Gornik Konin,,1,S. Wola,,4
2000-05-28T00:00:00,Hetman Zamosc,,4,Polar Wroclaw,,0
2000-05-28T00:00:00,Leczna,,3,Kietrz,,1
2000-05-28T00:00:00,Ostrowiec Swietokrzyski,,2,Myszkow,,1
2000-05-28T00:00:00,Polonia Bytom,,2,Stal Szczecin,,1
2000-05-28T00:00:00,Slask Wroclaw,,1,Jeziorak,,0
2000-05-28T00:00:00,Swit,,1,Siarka Tarnobrzeg,,1
2000-05-27T00:00:00,GKS Belchatow,,2,Radomsko,,1
2000-05-27T00:00:00,Hutnik Krakow,,4,Korona Kielce,,1
2000-05-27T00:00:00,Lechia Gdansk,,2,Grunwald,,1
