datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2014-06-07T16:45:00,Chojniczanka,0,0,Zabki,0,0
2014-06-07T16:45:00,GKS Belchatow,2,4,Sandecja Nowy S.,0,0
2014-06-07T16:45:00,Ol. Grudziadz,0,2,ROW Rybnik,1,1
2014-06-07T16:45:00,Puszcza,0,1,Kolejarz,1,2
2014-06-07T16:45:00,Stomil Olsztyn,0,1,Leczna,0,0
2014-06-07T16:45:00,Swinoujscie,1,2,Brzesko,0,0
2014-06-07T16:45:00,Termalica B-B.,1,4,Arka Gdynia,1,2
2014-06-07T16:45:00,Tychy,1,3,Legnica,1,1
2014-06-07T16:45:00,Wisla Plock,1,1,GKS Katowice,0,1
2014-05-31T16:45:00,Arka Gdynia,0,1,Ol. Grudziadz,1,1
2014-05-31T16:45:00,Brzesko,1,1,Wisla Plock,1,2
2014-05-31T16:45:00,GKS Katowice,2,3,Tychy,2,3
2014-05-31T16:45:00,Kolejarz,0,0,GKS Belchatow,1,1
2014-05-31T16:45:00,Leczna,0,1,Termalica B-B.,0,1
2014-05-31T16:45:00,Legnica,0,1,Stomil Olsztyn,0,1
2014-05-31T16:45:00,ROW Rybnik,1,1,Chojniczanka,1,4
2014-05-31T16:45:00,Sandecja Nowy S.,0,0,Swinoujscie,0,0
2014-05-31T16:45:00,Zabki,2,4,Puszcza,1,2
2014-05-25T17:00:00,Kolejarz,1,2,Zabki,0,1
2014-05-25T17:00:00,Puszcza,0,1,ROW Rybnik,0,1
2014-05-25T17:00:00,Termalica B-B.,2,2,Legnica,0,0
2014-05-25T14:00:00,Stomil Olsztyn,1,3,GKS Katowice,0,1
2014-05-25T12:30:00,GKS Belchatow,2,3,Swinoujscie,0,0
2014-05-25T12:30:00,Tychy,0,2,Brzesko,0,0
2014-05-25T12:15:00,Chojniczanka,0,0,Arka Gdynia,0,1
2014-05-24T17:30:00,Ol. Grudziadz,0,0,Leczna,0,1
2014-05-24T17:00:00,Wisla Plock,1,2,Sandecja Nowy S.,0,0
2014-05-21T19:45:00,Arka Gdynia,0,3,Puszcza,1,2
2014-05-21T19:00:00,GKS Katowice,1,1,Termalica B-B.,0,1
2014-05-21T19:00:00,ROW Rybnik,0,1,Kolejarz,1,2
2014-05-21T19:00:00,Sandecja Nowy S.,0,0,Tychy,1,1
2014-05-21T17:30:00,Zabki,2,2,GKS Belchatow,0,1
2014-05-21T17:00:00,Brzesko,0,0,Stomil Olsztyn,0,1
2014-05-21T17:00:00,Leczna,1,2,Chojniczanka,0,0
2014-05-21T17:00:00,Legnica,1,1,Ol. Grudziadz,0,0
2014-05-21T17:00:00,Swinoujscie,2,2,Wisla Plock,0,0
2014-05-18T12:30:00,Kolejarz,1,3,Arka Gdynia,1,2
2014-05-18T12:15:00,Tychy,2,2,Swinoujscie,1,3
2014-05-17T17:00:00,GKS Belchatow,0,0,Wisla Plock,0,2
2014-05-17T17:00:00,Puszcza,0,1,Leczna,0,2
2014-05-17T17:00:00,Stomil Olsztyn,0,1,Sandecja Nowy S.,0,1
2014-05-17T17:00:00,Zabki,0,0,ROW Rybnik,1,2
2014-05-17T16:30:00,Termalica B-B.,2,2,Brzesko,0,0
2014-05-17T16:00:00,Chojniczanka,1,1,Legnica,0,1
2014-05-17T13:45:00,Ol. Grudziadz,1,1,GKS Katowice,0,0
2014-05-11T12:30:00,Wisla Plock,0,1,Tychy,0,1
2014-05-11T12:15:00,Sandecja Nowy S.,2,2,Termalica B-B.,0,1
2014-05-10T19:00:00,GKS Katowice,1,2,Chojniczanka,1,1
2014-05-10T19:00:00,Legnica,2,3,Puszcza,0,0
2014-05-10T17:30:00,Arka Gdynia,0,0,Zabki,1,2
2014-05-10T17:00:00,Brzesko,0,0,Ol. Grudziadz,2,2
2014-05-10T17:00:00,Leczna,1,2,Kolejarz,0,0
2014-05-10T17:00:00,Swinoujscie,0,0,Stomil Olsztyn,0,0
2014-05-09T19:00:00,ROW Rybnik,1,2,GKS Belchatow,0,0
2014-05-04T17:00:00,Chojniczanka,2,2,Brzesko,0,0
2014-05-04T17:00:00,Kolejarz,0,1,Legnica,0,0
2014-05-04T12:30:00,Zabki,2,2,Leczna,2,2
2014-05-04T12:15:00,Puszcza,1,2,GKS Katowice,1,2
2014-05-03T19:00:00,ROW Rybnik,1,2,Arka Gdynia,1,2
2014-05-03T18:00:00,GKS Belchatow,1,3,Tychy,0,1
2014-05-03T16:30:00,Termalica B-B.,1,1,Swinoujscie,0,0
2014-05-03T15:00:00,Ol. Grudziadz,2,3,Sandecja Nowy S.,0,1
2014-05-03T14:45:00,Stomil Olsztyn,1,1,Wisla Plock,1,2
2014-04-27T17:00:00,Leczna,1,1,ROW Rybnik,0,2
2014-04-27T12:30:00,Tychy,1,1,Stomil Olsztyn,0,0
2014-04-27T12:15:00,Brzesko,0,1,Puszcza,0,1
2014-04-26T19:00:00,Legnica,0,0,Zabki,1,3
2014-04-26T18:00:00,GKS Katowice,0,2,Kolejarz,1,2
2014-04-26T17:00:00,Sandecja Nowy S.,0,1,Chojniczanka,1,1
2014-04-26T17:00:00,Wisla Plock,0,1,Termalica B-B.,0,1
2014-04-26T16:30:00,Swinoujscie,0,0,Ol. Grudziadz,0,0
2014-04-26T14:45:00,Arka Gdynia,1,1,GKS Belchatow,1,1
2014-04-23T19:00:00,ROW Rybnik,0,0,Legnica,1,3
2014-04-23T18:30:00,Arka Gdynia,0,2,Leczna,0,1
2014-04-23T17:00:00,Chojniczanka,1,2,Swinoujscie,0,1
2014-04-23T17:00:00,GKS Belchatow,0,1,Stomil Olsztyn,0,0
2014-04-23T17:00:00,Ol. Grudziadz,0,0,Wisla Plock,0,0
2014-04-23T17:00:00,Termalica B-B.,1,2,Tychy,0,0
2014-04-23T16:00:00,Kolejarz,1,2,Brzesko,0,0
2014-04-23T16:00:00,Puszcza,0,0,Sandecja Nowy S.,0,1
2014-04-23T16:00:00,Zabki,0,0,GKS Katowice,0,0
2014-04-19T19:30:00,Legnica,1,2,Arka Gdynia,0,1
2014-04-19T15:00:00,Swinoujscie,0,0,Puszcza,0,1
2014-04-19T14:00:00,Sandecja Nowy S.,1,1,Kolejarz,0,0
2014-04-19T14:00:00,Wisla Plock,0,0,Chojniczanka,0,2
2014-04-19T12:30:00,Leczna,0,0,GKS Belchatow,1,2
2014-04-17T18:45:00,ROW Rybnik,0,0,GKS Katowice,0,4
2014-04-17T17:00:00,Brzesko,0,0,Zabki,2,6
2014-04-17T17:00:00,Stomil Olsztyn,2,2,Termalica B-B.,0,0
2014-04-17T17:00:00,Tychy,0,0,Ol. Grudziadz,0,1
2014-04-13T16:00:00,Kolejarz,0,1,Swinoujscie,2,3
2014-04-13T12:30:00,Leczna,1,2,Legnica,0,0
2014-04-13T12:15:00,Zabki,0,2,Sandecja Nowy S.,0,0
2014-04-12T18:00:00,GKS Belchatow,0,1,Termalica B-B.,1,1
2014-04-12T16:00:00,Chojniczanka,1,2,Tychy,1,2
2014-04-12T16:00:00,Ol. Grudziadz,2,3,Stomil Olsztyn,0,0
2014-04-12T16:00:00,Puszcza,0,0,Wisla Plock,0,3
2014-04-12T15:30:00,Arka Gdynia,1,3,GKS Katowice,0,0
2014-04-11T19:00:00,ROW Rybnik,0,3,Brzesko,0,0
2014-04-06T12:30:00,Stomil Olsztyn,0,0,Chojniczanka,2,2
2014-04-06T12:30:00,Tychy,4,5,Puszcza,0,1
2014-04-06T12:15:00,Termalica B-B.,0,2,Ol. Grudziadz,0,0
2014-04-05T17:30:00,GKS Katowice,1,1,Leczna,1,1
2014-04-05T17:00:00,Brzesko,0,0,Arka Gdynia,0,0
2014-04-05T17:00:00,Legnica,0,0,GKS Belchatow,2,2
2014-04-05T17:00:00,Sandecja Nowy S.,0,1,ROW Rybnik,0,0
2014-04-05T17:00:00,Wisla Plock,0,1,Kolejarz,0,0
2014-04-05T16:00:00,Swinoujscie,1,2,Zabki,0,1
2014-03-30T15:00:00,Kolejarz,0,1,Tychy,0,0
2014-03-30T12:30:00,GKS Belchatow,1,2,Ol. Grudziadz,1,1
2014-03-30T12:15:00,ROW Rybnik,0,1,Swinoujscie,0,1
2014-03-30T12:15:00,Zabki,2,3,Wisla Plock,0,1
