datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2004-06-12T00:00:00,Arka Gdynia,,1,Radomsko,,2
2004-06-12T00:00:00,Cracovia,,8,Szczakowianka,,1
2004-06-12T00:00:00,GKS Belchatow,,2,Gornik Konin,,0
2004-06-12T00:00:00,Jagiellonia,,1,Ruch Chorzow,,0
2004-06-12T00:00:00,Piast Gliwice,,2,Polar Wroclaw,,0
2004-06-12T00:00:00,Podbeskidzie,,2,LKS Lodz,,0
2004-06-12T00:00:00,Zaglebie,,1,Pogon Szczecin,,1
2004-06-06T00:00:00,Ceramika Opoczno,,1,Jagiellonia,,1
2004-06-06T00:00:00,Gornik Konin,,0,Podbeskidzie,,1
2004-06-06T00:00:00,Pogon Szczecin,,2,GKS Belchatow,,2
2004-06-06T00:00:00,Radomsko,,0,Zaglebie,,1
2004-06-06T00:00:00,Ruch Chorzow,,2,Arka Gdynia,,1
2004-06-06T00:00:00,Szczakowianka,,1,Piast Gliwice,,1
2004-06-06T00:00:00,Tloki Gorzyce,,1,Cracovia,,0
2004-06-02T00:00:00,Arka Gdynia,,2,Ceramika Opoczno,,2
2004-06-02T00:00:00,Cracovia,,4,LKS Lodz,,1
2004-06-02T00:00:00,Jagiellonia,,4,Polar Wroclaw,,1
2004-06-02T00:00:00,Piast Gliwice,,5,Tloki Gorzyce,,1
2004-06-02T00:00:00,Podbeskidzie,,1,Pogon Szczecin,,2
2004-06-02T00:00:00,Radomsko,,2,Ruch Chorzow,,0
2004-06-02T00:00:00,Zaglebie,,1,GKS Belchatow,,0
2004-05-29T00:00:00,Ceramika Opoczno,,1,Radomsko,,1
2004-05-29T00:00:00,GKS Belchatow,,3,Podbeskidzie,,0
2004-05-29T00:00:00,Gornik Konin,,0,Cracovia,,3
2004-05-29T00:00:00,Szczakowianka,,4,Jagiellonia,,0
2004-05-28T00:00:00,LKS Lodz,,2,Piast Gliwice,,1
2004-05-28T00:00:00,Ruch Chorzow,,0,Zaglebie,,3
2004-05-26T00:00:00,LKS Lodz,,1,Ceramika Opoczno,,0
2004-05-22T00:00:00,Arka Gdynia,,0,Szczakowianka,,1
2004-05-22T00:00:00,Cracovia,,2,Pogon Szczecin,,2
2004-05-22T00:00:00,Jagiellonia,,1,Tloki Gorzyce,,1
2004-05-22T00:00:00,Piast Gliwice,,1,Gornik Konin,,0
2004-05-22T00:00:00,Radomsko,,6,Polar Wroclaw,,0
2004-05-22T00:00:00,Ruch Chorzow,,1,Ceramika Opoczno,,1
2004-05-21T00:00:00,Zaglebie,,2,Podbeskidzie,,0
2004-05-15T00:00:00,Ceramika Opoczno,,0,Zaglebie,,1
2004-05-15T00:00:00,GKS Belchatow,,0,Cracovia,,2
2004-05-15T00:00:00,LKS Lodz,0,0,Jagiellonia,0,0
2004-05-15T00:00:00,Pogon Szczecin,,5,Piast Gliwice,,0
2004-05-15T00:00:00,Polar Wroclaw,,0,Ruch Chorzow,,3
2004-05-15T00:00:00,Szczakowianka,,2,Radomsko,,0
2004-05-15T00:00:00,Tloki Gorzyce,0,0,Arka Gdynia,0,0
2004-05-12T00:00:00,Arka Gdynia,0,0,LKS Lodz,0,0
2004-05-12T00:00:00,Ceramika Opoczno,,1,Polar Wroclaw,,1
2004-05-12T00:00:00,Cracovia,,3,Podbeskidzie,,2
2004-05-12T00:00:00,Jagiellonia,,2,Gornik Konin,,0
2004-05-12T00:00:00,Piast Gliwice,,0,GKS Belchatow,,1
2004-05-12T00:00:00,Radomsko,,1,Tloki Gorzyce,,0
2004-05-12T00:00:00,Ruch Chorzow,,1,Szczakowianka,,1
2004-05-08T00:00:00,Gornik Konin,0,0,Arka Gdynia,0,0
2004-05-08T00:00:00,Podbeskidzie,,0,Piast Gliwice,,3
2004-05-08T00:00:00,Pogon Szczecin,,3,Jagiellonia,,1
2004-05-08T00:00:00,Szczakowianka,,1,Ceramika Opoczno,,0
2004-05-08T00:00:00,Tloki Gorzyce,,1,Ruch Chorzow,,1
2004-05-07T00:00:00,LKS Lodz,,1,Radomsko,,0
2004-05-07T00:00:00,Polar Wroclaw,,0,Zaglebie,,4
2004-05-03T00:00:00,Ruch Chorzow,,0,LKS Lodz,,3
2004-05-02T00:00:00,Arka Gdynia,,1,Pogon Szczecin,,0
2004-05-02T00:00:00,Ceramika Opoczno,,2,Tloki Gorzyce,,1
2004-05-02T00:00:00,Jagiellonia,,1,GKS Belchatow,,3
2004-05-02T00:00:00,Polar Wroclaw,,0,Szczakowianka,,2
2004-05-02T00:00:00,Radomsko,,3,Gornik Konin,,0
2004-05-02T00:00:00,Zaglebie,,1,Cracovia,,0
2004-04-28T00:00:00,Cracovia,,2,Piast Gliwice,,0
2004-04-28T00:00:00,GKS Belchatow,,6,Arka Gdynia,,1
2004-04-28T00:00:00,Gornik Konin,,0,Ruch Chorzow,,1
2004-04-28T00:00:00,Podbeskidzie,,2,Jagiellonia,,0
2004-04-28T00:00:00,Pogon Szczecin,,3,Radomsko,,0
2004-04-28T00:00:00,Szczakowianka,,4,Zaglebie,,1
2004-04-28T00:00:00,Tloki Gorzyce,,1,Polar Wroclaw,,2
2004-04-25T00:00:00,Arka Gdynia,,2,Podbeskidzie,,0
